Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            382            382         80.841         81.833        4.93795
            383            383         80.928         81.917        4.93798
            384            384         81.004         82.000        4.93798
            385            385         81.079         82.083        4.93799
            386            386         81.172         82.167          4.938
            387            387         81.258         82.250          4.938
            388            388         81.347         82.333        4.93799
            389            389         81.427         82.417        4.93798
            390            390         81.522         82.500        4.93796
            391            391         81.602         82.583        4.93792
            392            392         81.691         82.667        4.93785
            393            393         81.780         82.750        4.93778
            394            394         81.852         82.833         4.9377
            395            395         81.935         82.917        4.93761
            396            396         82.016         83.000         4.9375
            397            397         82.113         83.083        4.93741
            398            398         82.195         83.167        4.93733
            399            399         82.277         83.250        4.93725
            400            400         82.362         83.333         4.9372
            401            401         82.439         83.417        4.93714
            402            402         82.524         83.500        4.93709
            403            403         82.608         83.583        4.93702
            404            404         82.698         83.667        4.93698
            405            405         82.781         83.750        4.93697
            406            406         82.874         83.833        4.93699
            407            407         82.954         83.917        4.93701
            408            408         83.039         84.000        4.93705
            409            409         83.118         84.083        4.93708
            410            410         83.200         84.167        4.93709
            411            411         83.289         84.250         4.9371
            412            412         83.372         84.333        4.93709
            413            413         83.452         84.417        4.93709
            414            414         83.540         84.500        4.93709
            415            415         83.628         84.583        4.93708
            416            416         83.716         84.667        4.93706
            417            417         83.808         84.750        4.93705
            418            418         83.893         84.833        4.93704
            419            419         83.975         84.917        4.93703
            420            420         84.057         85.000        4.93702
            421            421         84.146         85.083        4.93702
            422            422         84.231         85.167        4.93702
            423            423         84.320         85.250        4.93701
            424            424         84.403         85.333        4.93701
            425            425         84.499         85.417        4.93701
            426            426         84.583         85.500        4.93701
            427            427         84.656         85.583          4.937
            428            428         84.741         85.667        4.93701
            429            429         84.815         85.750        4.93704
            430            430         84.914         85.833         4.9371
            431            431         84.991         85.917        4.93716
            432            432         85.073         86.000        4.93723
            433            433         85.157         86.083        4.93726
            434            434         85.245         86.167        4.93727
            435            435         85.331         86.250        4.93728
            436            436         85.425         86.333        4.93723
            437            437         85.507         86.417        4.93721
            438            438         85.583         86.500        4.93718
            439            439         85.666         86.583        4.93715
            440            440         85.755         86.667        4.93712
            441            441         85.839         86.750        4.93709
            442            442         85.920         86.833        4.93707
            443            443         86.003         86.917        4.93705
            444            444         86.093         87.000        4.93704
            445            445         86.173         87.083        4.93703
            446            446         86.268         87.167        4.93702
            447            447         86.343         87.250        4.93702
            448            448         86.431         87.333        4.93702
            449            449         86.523         87.417        4.93701
            450            450         86.613         87.500          4.937
            451            451         86.688         87.583        4.93699
            452            452         86.778         87.667        4.93696
            453            453         86.852         87.750        4.93691
            454            454         86.953         87.833        4.93686
            455            455         87.032         87.917         4.9368
            456            456         87.113         88.000        4.93669
            457            457         87.195         88.083        4.93662
            458            458         87.285         88.167        4.93659
            459            459         87.368         88.250        4.93659
            460            460         87.446         88.333        4.93663
            461            461         87.538         88.417        4.93667
            462            462         87.629         88.500        4.93672
            463            463         87.708         88.583        4.93677
            464            464         87.787         88.667        4.93687
            465            465         87.881         88.750        4.93692
            466            466         87.974         88.833        4.93696
            467            467         88.055         88.917          4.937
            468            468         88.128         89.000        4.93699
            469            469         88.215         89.083          4.937
            470            470         88.311         89.167          4.937
